content,content_clean,score,label,content_length,content_clean_length
I really enjoy playing this game it's definitely my favorite,realli enjoy play game definit favorit,7,Positive,10,6
Good for games coc,good game coc,7,Positive,4,3
So many glitch was there while opening and in full network connection lost problem was there,mani glitch open full network connect lost problem,-10,Negative,16,8
Best,best,0,Neutral,1,1
Nice,nice,4,Positive,1,1
"I don't know why it's so difficult to play this game, the network always has problems even though playing other games and opening other applications there are no problems. I have changed the WiFi mode to data",dont know difficult play game network alway problem even though play game open applic problem chang wifi mode data,-10,Negative,37,19
I've only 1 issue that is- I can't buy anything from the store why..?? Please help,ive issu cant buy anyth store pleas help,2,Positive,16,8
This game is very nice,game nice,6,Positive,5,2
It is so good game 🎮 for me I am playing this game 1 years the upgrade will take some time but this game will teach you good day will come soon,good game play game year upgrad take time game teach good day come soon,16,Positive,32,14
Good,good,5,Positive,1,1
My son may lost his account cuickie but he wants to play so he made a new one still pretty great game,son may lost account cuicki want play made new one still pretti great game,2,Positive,22,14
Good game,good game,7,Positive,2,2
I like COC,like coc,0,Neutral,3,2
one of the best games I have ever played but the only issue is that the heroes are unavailable in battle while upgrading.,one best game ever play issu hero unavail battl upgrad,2,Positive,23,10
WORLD BEST OF THE BEST GAME KINAGHACHI GAME BEST BEST OF BEST ALL TIME BEST GAME MY FAVORITE GAME I NEVER STOP THIS GAME,world best best game kinaghachi game best best best time best game favorit game never stop game,13,Positive,24,17
Good,good,5,Positive,1,1
It's always a goated game 🔥🔥,alway goat game,2,Positive,6,3
Best game over all,best game,2,Positive,4,2
Good game,good game,7,Positive,2,2
coc op,coc op,0,Neutral,2,2
Nice game for waiting,nice game wait,6,Positive,4,3
Uninstall this game,uninstal game,2,Positive,3,2
"Sorry to say but I can't get my 7 year old account , I can't recover my account thought I logged in the supercell , I can't get the gmail code , so therefore I request supercell to recover my account as soon as possible . Please help 🙏🙏",sorri say cant get year old account cant recov account thought log supercel cant get gmail code therefor request supercel recov account soon possibl pleas help,3,Positive,49,26
Old I'd not working and help and support not giving solution,old id work help support give solut,6,Positive,11,7
Good game,good game,7,Positive,2,2
Good game and I enjoy,good game enjoy,10,Positive,5,3
I've been playing this for over 3 years(I think) And it's fun Im still at th8 btw,ive play yearsi think fun im still th btw,0,Neutral,17,9
Love this game since the first time I played it,love game sinc first time play,7,Positive,10,6
The End Of Coc !,end coc,0,Neutral,5,2
Otp is not coming for my id,otp come id,0,Neutral,7,3
It's a good app for statergy and many fun are inside in this app😊😊,good app statergi mani fun insid app,5,Positive,14,7
It very amazing game if you have patience,amaz game patienc,2,Positive,8,3
Every time saying connection time out although network is very good in speed . In past it's working nicely but now always saying connection time out.,everi time say connect time although network good speed past work nice alway say connect time,11,Positive,26,16
Cannot use help and support this time,use help support time,6,Positive,7,4
Just pls bring back the old Global Chat :(,pl bring back old global chat,3,Positive,9,6
Excellent,excel,0,Neutral,1,1
Good game for my life.Thanks playstore.,good game lifethank playstor,7,Positive,6,4
1 of the best game 🎯,best game,2,Positive,6,2
Excited to make a new build,excit make new build,0,Neutral,6,4
I can't describe my feeling,cant describ feel,0,Neutral,5,3
Vary depending on how 🤔 you are to get your car insurance coverage 🙄 and how to make 🙄 😑 with the lowest prices and lowest price for your home and business plan and how you could get the most money to help out the best way to help me get my life back and I will get back on it and I sha it for a while now but it 50th up and it looks 50th and I'm going out to get some stuff out of it for now so that you,vari depend get car insur coverag make lowest price lowest price home busi plan could get money help best way help get life back get back sha th look th im go get stuff,2,Positive,93,34
This is a good game,good game,7,Positive,5,2
Nice game,nice game,6,Positive,2,2
V good,v good,5,Positive,2,2
Nice,nice,4,Positive,1,1
ممتازه,ممتازه,0,Neutral,1,1
Govardhan,govardhan,0,Neutral,1,1
Builder take time,builder take time,0,Neutral,3,3
Great,great,3,Positive,1,1
Good things take time,good thing take time,5,Positive,4,4
I like this game very much in 7 days I upgrad my town hall level 5,like game much day upgrad town hall level,2,Positive,16,8
my favorite troop is electro 🐉,favorit troop electro,0,Neutral,6,3
"Very fun, I recommend it",fun recommend,0,Neutral,5,2
Good game,good game,7,Positive,2,2
Nice,nice,4,Positive,1,1
"I don't understand its a bug or what but i can't play it since 2 days. Wheenever i open it, it doesn't load and at last says ""login failed"".",dont understand bug cant play sinc day wheenev open doesnt load last say login fail,-7,Negative,29,15
Best game ever,best game ever,2,Positive,3,3
I am playing this game for many years but now i am facing connection issue over Wifi.Please fix this problem,play game mani year face connect issu wifipleas fix problem,-2,Negative,20,10
Great,great,3,Positive,1,1
Every single thing in this game is so expensive it makes you question the capacity for human greed,everi singl thing game expens make question capac human greed,2,Positive,18,10
Nice game,nice game,6,Positive,2,2
best combat tycoon,best combat tycoon,0,Neutral,3,3
Everything is good but we need voice massage to communicate eachother in clan war.,everyth good need voic massag commun eachoth clan war,5,Positive,14,9
Very nice game,nice game,6,Positive,3,2
Nice game but could be better,nice game could better,8,Positive,6,4
the troops are very polite instead of stopping at the town hall to go to the side it's stressful,troop polit instead stop town hall go side stress,-2,Negative,19,9
Excellent 😊🫠,excel,0,Neutral,2,1
Very cool game and the challenge is very hard to complete.,cool game challeng hard complet,4,Positive,11,5
Dont download this app,dont download app,0,Neutral,4,3
"Amazing, just amazing.",amaz amaz,0,Neutral,3,2
Good game,good game,7,Positive,2,2
This is a mind game,mind game,2,Positive,5,2
Very nice 🎮🎯,nice,4,Positive,3,1
Need more adventure,need adventur,0,Neutral,3,2
Make troops skiln for collaboration with anyone,make troop skiln collabor anyon,0,Neutral,7,5
Fun,fun,0,Neutral,1,1
Excelente Actualización 👌,excelent actualización,0,Neutral,3,2
Great game,great game,5,Positive,2,2
Only a 4 Star because life isn't about games.,star life isnt game,0,Neutral,9,4
AMAZIN BEEN PLAYING SINCE FOREVER AND LOVE IT,amazin play sinc forev love,5,Positive,8,5
This is my fourth phone I used to have a level fifteen town hall but it's always nice to see if I can get I better start than the last time I played,fourth phone use level fifteen town hall alway nice see get better start last time play,6,Positive,33,16
العبة روعة جداااا,العبة روعة جداااا,0,Neutral,3,3
The best strategy game on the market,best strategi game market,2,Positive,7,4
wow,wow,0,Neutral,1,1
Nah id win,nah id win,0,Neutral,3,3
"Unfortunately, I'm having issues getting past the loading screen. The new update won't let me in🥰 . I love the game regardless.",unfortun im issu get past load screen new updat wont let love game regardless,7,Positive,22,14
"Ignore everything I wrote here. Despite the fact that it's riddled with micro-transactions and absurdly long upgrade times, Clash of Clans and it's community have always been there for me when I needed a friend to chat with or some quick gameplay in between work. Its fallen from it's glory but still worth picking up even if you have never played, but it's got some insanely overpriced cosmetics. Ignore all that I'm too lazy to delete it",ignor everyth wrote despit fact riddl microtransact absurdli long upgrad time clash clan commun alway need friend chat quick gameplay work fallen glori still worth pick even never play got insan overpr cosmet ignor im lazi delet,0,Neutral,77,37
Good,good,5,Positive,1,1
Great game,great game,5,Positive,2,2
"This is the most fun game I've ever played. It's fun,and it has a lot of people you can battle. And you can train in the game so you're ready. You can friend your friends on this. But there are a few problems, first is that when you try and get in the game it freezes for like 10 minutes then you have to go out and restart your phone then you can play.Second is that when you join a clan it sometimes automatically kicks you out of the clan as soon as you join the game.But over all its a fun game.",fun game ive ever play funand lot peopl battl train game your readi friend friend problem first tri get game freez like minut go restart phone playsecond join clan sometim automat kick clan soon join gamebut fun game,1,Positive,103,38
Great,great,3,Positive,1,1
Login and account has banned full upgrade,login account ban full upgrad,0,Neutral,7,5
like😉,like,0,Neutral,1,1
Best game,best game,2,Positive,2,2
Fun game and doesn't require pay to play which makes you want to invest in it for the fun.,fun game doesnt requir pay play make want invest fun,2,Positive,19,10
It won't load,wont load,0,Neutral,3,2
Jempoollll,jempoolll,0,Neutral,1,1
Why don't you want to give a code to my old email? But in another code that gives immediately?,dont want give code old email anoth code give immedi,0,Neutral,19,10
Great,great,3,Positive,1,1
transaction pending problem 😔,transact pend problem,-4,Negative,4,3
Returning player. Still a great game,return player still great game,5,Positive,6,5
Amazing,amaz,0,Neutral,1,1
"For a Supercell game, surprisingly good",supercel game surprisingli good,7,Positive,6,4
Nice,nice,4,Positive,1,1
Good,good,5,Positive,1,1
fesbook login,fesbook login,0,Neutral,2,2
Fun,fun,0,Neutral,1,1
New in game,new game,2,Positive,3,2
"Clash of Clans offers endless hours of entertainment as you build, battle, and conquer your way to victory",clash clan offer endless hour entertain build battl conquer way victori,0,Neutral,18,11
Best game ❤️‍🩹,best game,2,Positive,3,2
Unable to join my friends clan,unabl join friend clan,1,Positive,6,4
Gud,gud,0,Neutral,1,1
Takes time to get fun but when you get there its insanely good,take time get fun get insan good,5,Positive,13,7
Etho irukku,etho irukku,0,Neutral,2,2
My favorite one,favorit one,0,Neutral,3,2
"Suka dc sendiri pas lg attack, payah dlu gak gini. Kalo msh belum bener udh turun lg ni bintang.",suka dc sendiri pa lg attack payah dlu gak gini kalo msh belum bener udh turun lg ni bintang,-1,Negative,19,19
I'm a 40days old th9. After the new update all I get for raid is maxed th10s and 9s. Before th11 update it took 3-4days to collect 6million elixir now it's been 6days that I lost more elixir than gaining. Multiplayer matchmaking sucks can't get any resources.,im day old th new updat get raid max th th updat took day collect million elixir day lost elixir gain multiplay matchmak suck cant get resourc,-3,Negative,47,27
Best game ever,best game ever,2,Positive,3,3
Loading problem 💔💔😔,load problem,-4,Negative,3,2
Good,good,5,Positive,1,1
With stable internet connection it is still getting disconnected to server after 1-2 mins. So irritating,stabl internet connect still get disconnect server min irrit,0,Neutral,16,9
It's fun but just takes a lot of time so if you have time it's good fun,fun take lot time time good fun,0,Neutral,17,7
Best game,best game,2,Positive,2,2
n̷i̷c̷e̷ g̷a̷m̷e̷,nice game,6,Positive,2,2
5/21/24 Update. This game has gone down hill over the years. It's just a cash grab. No more $ from me until you fix the major issues. Needs to be an easier way to combine clans,updat game gone hill year cash grab fix major issu need easier way combin clan,2,Positive,36,15
Good app,good app,5,Positive,2,2
It was much more batter than I expected,much batter expect,0,Neutral,8,3
Very cool,cool,2,Positive,2,1
Nice,nice,4,Positive,1,1
Hey you had to improve you AI which find lost account I cannot find my account but all kind of YouTuber said the coc id can find by contact you plzz improve that ai which find lost village mine account. I tried from 2 days . And to day your help and support application is not working 😤😤,hey improv ai find lost account find account kind youtub said coc id find contact plzz improv ai find lost villag mine account tri day day help support applic work,0,Neutral,58,30
Best game ever,best game ever,2,Positive,3,3
ah haa,ah haa,0,Neutral,2,2
"I have been playing this game for more than 10 years now, OG game 🗿",play game year og game,4,Positive,15,5
Osm game but Network issue time to time,osm game network issu time time,2,Positive,8,6
One of the best games ever created,one best game ever creat,2,Positive,7,5
Cool keeps you busy when you nothing much to do,cool keep busi noth much,2,Positive,10,5
ওকে ঠিক আছে,ওক ঠক আছ,0,Neutral,3,3
I love this game,love game,7,Positive,4,2
This game is very good,game good,7,Positive,5,2
"Connection lost, is the big issue in this game.",connect lost big issu game,-1,Negative,9,5
In your game some glitches fit first conection lost Any time,game glitch fit first conect lost time,3,Positive,11,7
Good game,good game,7,Positive,2,2
It's very time consuming,time consum,0,Neutral,4,2
great game,great game,5,Positive,2,2
Perfect I love it,perfect love,5,Positive,4,2
Best game i play it .It improve in mind games good and too good.But all players who have money can upgrade buy sceneries and skins .I think you want to gave sceneries and skins in events not for money.,best game play improv mind game good goodbut player money upgrad buy sceneri skin think want gave sceneri skin event money,9,Positive,39,21
It is super fantastic game ever in playstore,super fantast game ever playstor,5,Positive,8,5
"Its very fun to play this game is like one of my favorites , you have to spend money for the pass. but they always have good deals",fun play game like one favorit spend money pass alway good deal,7,Positive,28,12
I loved this game,love game,7,Positive,4,2
Muy entretenido!,muy entretenido,0,Neutral,2,2
Keep it up good game,keep good game,7,Positive,5,3
ভালো লাগে না,ভল লগ ন,0,Neutral,3,3
Cool,cool,2,Positive,1,1
"I am playing this game from last 5 years, but now to much problem like stopped game again and again automatically. I am not happy.",play game last year much problem like stop game automat happi,3,Positive,25,11
The head on the ship other side on the head what is written it's against Muslim so kindly remove it,head ship side head written muslim kindli remov,3,Positive,20,8
i love and good governance stifled China was,love good govern stifl china,10,Positive,8,5
Great game but not great rewards upgrades take too long not to hook us up with some extra bonus more often,great game great reward upgrad take long hook us extra bonu often,8,Positive,21,12
"Game not start in moto z play (only showing downloading content)and stuck, nothing happened #developer #supercell",game start moto z play show download contentand stuck noth happen,4,Positive,16,11
Just because of Haaland,haaland,0,Neutral,4,1
A good game,good game,7,Positive,3,2
I like this warrior game,like warrior game,2,Positive,5,3
Goood,goood,0,Neutral,1,1
I'm on fire 🔛🔥,im fire,0,Neutral,4,2
plzz fix connection error .,plzz fix connect error,-5,Negative,5,4
It good,good,5,Positive,2,1
Nice,nice,4,Positive,1,1
Very good 👍🏻👍🏻 for playing,good play,5,Positive,5,2
Good but what is point of having two different barracks for army training when troops are going to come after one brracks training not training troops simultaneously from two barracks,good point two differ barrack armi train troop go come one brrack train train troop simultan two barrack,5,Positive,30,18
It is very good game I like it very much first time but some mongth later it becomes very much hard because it take much time to upgrade,good game like much first time mongth later becom much hard take much time upgrad,7,Positive,28,15
Food is good for you to the raid of the raid of the raid of the raid of,food good raid raid raid raid,5,Positive,18,6
Nice ..brouuuda,nice brouuuda,4,Positive,2,2
Very good game 👍👍🎯,good game,7,Positive,4,2
My all other internet required apps are running quite well But this game always show network problem and reload why Fix it or else i stop playing it,internet requir app run quit well game alway show network problem reload fix els stop play,3,Positive,28,16
Best game ever in my life,best game ever life,0,Neutral,6,4
Soo cool especially the haaland season Great innovation really love it,soo cool especi haaland season great innov realli love,10,Positive,11,9
very very nice game I love it 🫶❤️,nice game love,11,Positive,8,3
Awe,awe,0,Neutral,1,1
Amazing,amaz,0,Neutral,1,1
network issue hasnt been fixed for weeks!,network issu hasnt fix week,-4,Negative,7,5
Ufkg,ufkg,0,Neutral,1,1
THIS IS THE BEST GAME I EVER PLAYED,best game ever play,2,Positive,8,4
Trash it doesn't connect to my account when i want to one of the big problem Once again TRASHHHHHH,trash doesnt connect account want one big problem trashhhhhh,-4,Negative,19,9
Osm,osm,0,Neutral,1,1
"I asky myself why I didn't played this game before.. For those who likes to play games and another hand do other things, this game should be ur first choice u can put things to upgrade and go do the other thing. This game is best literally best, I am currently in TH9 , Slowly and steadily I will make more progress.",aski didnt play game like play game anoth hand thing game ur first choic u put thing upgrad go thing game best liter best current th slowli steadili make progress,8,Positive,62,30
great game,great game,5,Positive,2,2
Я разочарован в подборе противников для атаки и мне все время выдают 16 15 14 ратуши при этом я 11 в чемпионской лиге. За пол часа 1 норм база. Сума сошли с подбором?,я разочарован в подборе противников для атаки и мне все время выдают ратуши при этом я в чемпионской лиге за пол часа норм база сума сошли с подбором,0,Neutral,33,28
Worse when ever looking for opponent it suddenly showing the network issue its happening again and again,wors ever look oppon suddenli show network issu happen,2,Positive,17,9
yes it been 7 years since last played,ye year sinc last play,0,Neutral,8,5
Super,super,3,Positive,1,1
Better game for other this type of game l like this game but one problem in this game the troops are very time to ready and then we regularly upgrade anything in this game this much time to upgrade anything in the game Good Game,better game type game l like game one problem game troop time readi regularli upgrad anyth game much time upgrad anyth game good game,17,Positive,45,24
Good,good,5,Positive,1,1
"I got question, where do I upgrade the Giant thrower? Please help me.",got question upgrad giant thrower pleas help,-1,Negative,13,7
good game,good game,7,Positive,2,2
I love this game this game is old bus old is gold 🥇,love game game old bu old gold,9,Positive,13,7
Coc is the best game ever,coc best game ever,2,Positive,6,4
Ksieie O,ksieie,0,Neutral,2,1
Good game I like this game,good game like game,9,Positive,6,4
Good,good,5,Positive,1,1
Good game try this now 😁😁,good game tri,7,Positive,6,3
This is very nice game,nice game,6,Positive,5,2
This is very good game 🎮,good game,7,Positive,6,2
Good,good,5,Positive,1,1
I love you❤ clash of clan I am playing this game since 10 years..... 😇,love clash clan play game sinc year,7,Positive,15,7
The best hehe,best hehe,0,Neutral,3,2
Worst game do not download,worst game download,2,Positive,5,3
"My Account (10 YO/TH 16) Got hacked by someone, even im the only one who can login on it. But when i ask on any Gmail, AI, and another Costumers. They can do nothing, and only response like a broken BOT that didnt read the message even with lot of Pics & Vids to make sure thats account is mine. I hope this game gonna broke quickly, cuz it have to burn my time for 10 years to play it for nothing. Thanks SUPERCOLL & COUCH.",account yoth got hack someon even im one login ask gmail ai anoth costum noth respons like broken bot didnt read messag even lot pic vid make sure that account mine hope game gon na broke quickli cuz burn time year play noth thank supercol couch,-5,Negative,86,46
Please fix the game 😔,pleas fix game,2,Positive,5,3
Good game,good game,7,Positive,2,2
I LOVE THIS BEST GAMEEE,love best gamee,5,Positive,5,3
This is nice game I am enjoying this game any time ⏲️,nice game enjoy game time,11,Positive,12,5
Nice one.,nice one,4,Positive,2,2
jdk Hospet narrow-body McDonald L offical purani fall Cleo,jdk hospet narrowbodi mcdonald l offic purani fall cleo,0,Neutral,9,9
This is my childhood game 😊😊😊,childhood game,2,Positive,6,2
Nice game,nice game,6,Positive,2,2
Gudd,gudd,0,Neutral,1,1
Awesome game,awesom game,2,Positive,2,2
Forever,forev,0,Neutral,1,1
I love it,love,5,Positive,3,1
"the game reload more and more time,the network is stable but they shown they are not connected to stable network and many more interruption 😔",game reload timeth network stabl shown connect stabl network mani interrupt,2,Positive,25,11
Very best game,best game,2,Positive,3,2
Nice and good amazing game....,nice good amaz game,11,Positive,5,4
best Game Ever,best game ever,2,Positive,3,3
The store item is so expensive and also the skins and anything else. Can you please lower it. And also clan match making is unfair imagine a clan level is 2 is no match to a clan level 20 ( level 2 vs 20 level??) fix it please,store item expens also skin anyth els pleas lower also clan match make unfair imagin clan level match clan level level vs level fix pleas,-4,Negative,48,25
super experience 2nd time from 1st. I have lost my first account which was town hall 11 but now I'm in town hall4. even though 2nd time it's not boaring in a single word it's an excellent game,super experi nd time st lost first account town hall im town hall even though nd time boar singl word excel game,2,Positive,38,22
Love this game,love game,7,Positive,3,2
Getting better I like 👍,get better like,2,Positive,5,3
"what is clash of clan, you're like a fool, you're fine, you're fine with your game, when I attack, I only get 1-3 trophies, when they attack my base, they only get 2 stars, then they get trophies 37",clash clan your like fool your fine your fine game attack get trophi attack base get star get trophi,8,Positive,39,19
I've been playing 10 years. My favorite game!,ive play year favorit game,2,Positive,8,5
"Such a fun game! I love how its so strategetic and there is always something to do like clan games, practice, etc. Although it is a very time consuming game. It is a good game for when you need to take a break.",fun game love strateget alway someth like clan game practic etc although time consum game good game need take break,18,Positive,43,20
5 STΔR..Most nostalgic game! When i play it old memmories flows through my mindd.. I have only suggesion that.. 'There is only reccomented troops and base in practice mode...' . I suggest that to give random base daily and troop selection according to player.. It will be great to practice your own strategiess.. ✨️✨️.. Should wait far for an upgrade... It is not annoying at all bcoz thats the game...,stδrmost nostalg game play old memmori flow mindd sugges reccoment troop base practic mode suggest give random base daili troop select accord player great practic strategiess wait far upgrad annoy bcoz that game,3,Positive,70,33
I love that you added short and uncomplicated games like raid weekend. It helps me hone my attacking capabilities with little troops and spells.,love ad short uncompl game like raid weekend help hone attack capabl littl troop spell,9,Positive,24,15
Enjoying game experience!!!,enjoy game experi,5,Positive,3,3
Its good,good,5,Positive,2,1
It takes more time logging in since the last maintenance break,take time log sinc last mainten break,0,Neutral,11,7
Best ❤️,best,0,Neutral,2,1
Thanks for the free troops. Makes the game much happier to play nows days since left it on 2016. 😇,thank free troop make game much happier play now day sinc left,9,Positive,20,12
Whenever i play it says server problem,whenev play say server problem,-3,Negative,7,5
Good game,good game,7,Positive,2,2
I love the game but it's have many bug and please arrange the internet,love game mani bug pleas arrang internet,7,Positive,14,7
Amazing game and fun to play,amaz game fun play,2,Positive,6,4
Nice to play,nice play,4,Positive,3,2
Worst experience again and again they are showing connection lost even I have strong and 5g connection not able to play it's been 2weeks same problem do something about it,worst experi show connect lost even strong g connect abl play week problem someth,-9,Negative,30,14
I like this game,like game,2,Positive,4,2
Actually a fun and decent game that doesn't expect you to pay thousands just to play it and enjoy it. Playing free to play is still fun. 9/10 Game:),actual fun decent game doesnt expect pay thousand play enjoy play free play still fun game,10,Positive,29,16
"I am hating this last update every bit of it, i enjoyed this from 1gb ram to 8gb ram phone because of its optimization but, now this is always showing slow internet when i am streaming videos full HD",hate last updat everi bit enjoy gb ram gb ram phone optim alway show slow internet stream video full hd,1,Positive,39,20
Nice game,nice game,6,Positive,2,2
nice,nice,4,Positive,1,1
Nice game we enjoy,nice game enjoy,9,Positive,4,3
Nalla eruku,nalla eruku,0,Neutral,2,2
Nice game,nice game,6,Positive,2,2
Love this game so fun,love game fun,7,Positive,5,3
I do have a few complaints like the crazy amount of money it takes to clear the field of debris to properly arrange the village along with resource production time. I have a few ideas for certain aspects of the game but eh its not my game but its still enjoyable. Kinda reminds me of backyard monsters,complaint like crazi amount money take clear field debri properli arrang villag along resourc product time idea certain aspect game eh game still enjoy kinda remind backyard monster,7,Positive,57,28
"Amazing game, love it",amaz game love,7,Positive,4,3
Nice graphic,nice graphic,4,Positive,2,2
It's nice to play,nice play,4,Positive,4,2
Good 👍,good,5,Positive,2,1
Nice game,nice game,6,Positive,2,2
Pls nerf root rider and valkryie bro,pl nerf root rider valkryi bro,0,Neutral,7,6
good 👍 ayos,good ayo,9,Positive,3,2
super,super,3,Positive,1,1
Good game,good game,7,Positive,2,2
Mantap padu,mantap padu,5,Positive,2,2
Nothing to say it's just the best game,noth say best game,3,Positive,8,4
Never upgrade your collectors. All it does is get people to attack you and steal all the production from it anyways. Why boost them when again. They just steal it all anyways. I don't know why I came back to this game. Supercell has lost a lot of the things I enjoyed. I still refuse to play the builder Hall area as the grind is so bad it just isn't enjoyable. Stuff is more expensive there than at the main base. Capital hall is a joke for the small clans as well. Just don't bother downloading.,never upgrad collector get peopl attack steal product anyway boost steal anyway dont know came back game supercel lost lot thing enjoy still refus play builder hall area grind bad isnt enjoy stuff expens main base capit hall joke small clan well dont bother download,-5,Negative,96,45
Best,best,0,Neutral,1,1
It's very fun,fun,0,Neutral,3,1
A love you,love,5,Positive,3,1
Superb,superb,0,Neutral,1,1
"Simply superb nice game but not I am say any complaint for this game ,really nice game💛",simpli superb nice game say complaint game realli nice game,15,Positive,17,10
good,good,5,Positive,1,1
Damn,damn,0,Neutral,1,1
very good game,good game,7,Positive,3,2
This game is so good and enjoyable. The raid part is always crashing so i waste many raid chance.,game good enjoy raid part alway crash wast mani raid chanc,6,Positive,19,11
Great game,great game,5,Positive,2,2
Best gMe,best gme,0,Neutral,2,2
Noob game stupid,noob game stupid,2,Positive,3,3
It's a nice game,nice game,6,Positive,4,2
took longer load before below 3 second (low signal) disapear... now over 1minute still low signal hard load... try other game is normal only coc to hard load after open coc apps...,took longer load second low signal disapear minut still low signal hard load tri game normal coc hard load open coc app,0,Neutral,32,22
COC is best game.,coc best game,2,Positive,4,3
That's awesome game,that awesom game,2,Positive,3,3
interesting,interest,0,Neutral,1,1
Nice game,nice game,6,Positive,2,2
Interesting and engaging game,interest engag game,2,Positive,4,3
This was very good game,good game,7,Positive,5,2
VERY GOOD GAME JIST TAKES A LONG TIME TO UPGRADE.....,good game jist take long time upgrad,7,Positive,10,7
Berry good,berri good,5,Positive,2,2
First class game and lovely Game ever,first class game love game ever,9,Positive,7,6
Best game I see 🙈,best game see,2,Positive,5,3
Just wow,wow,0,Neutral,2,1
Excellent,excel,0,Neutral,1,1
It's good it's relax me ☺️,good relax,5,Positive,6,2
Good mind game,good mind game,7,Positive,3,3
My account is lose and I can't find my code and password that's why..I wanna tell something to make new settings to create a account and log in to my another account...and I downloaded this game and then I open new version and village..my account is lost now my level is level 8 now is turn level 1...I'm not happy 🙏😭,account lose cant find code password that whyi wan na tell someth make new set creat account log anoth accountand download game open new version villagemi account lost level level turn level im happi,-8,Negative,61,34
Very wonderful app,wonder app,0,Neutral,3,2
Awesome,awesom,0,Neutral,1,1
Supers**t this..my account has been hacked...,superst thismi account hack,-4,Negative,6,4
Ok 👌👌🆗🆗🆗👌👌,ok,4,Positive,2,1
THE BEST GAME🤩🤩,best game,2,Positive,3,2
It's really fun to play.,realli fun play,0,Neutral,5,3
Always lost connection when i use WiFi,alway lost connect use wifi,-3,Negative,7,5
Wow just wow,wow wow,0,Neutral,3,2
I love coc in every universe. 1st started in class 5 (2016).,love coc everi univers st start class,5,Positive,12,7
Love it,love,5,Positive,2,1
very bad game.,bad game,-2,Negative,3,2
Nice,nice,4,Positive,1,1
it is a very nice game,nice game,6,Positive,6,2
Awesome,awesom,0,Neutral,1,1
The game didnt work for me,game didnt work,2,Positive,6,3
"this game is quite fun! everything about the game is perfect except after the latest update, ive been facing lots of problems with the connection error (even though my network connection was strong). the annoying part about this is how whenever i'm in the middle of an attack and this problem occurs, i ain't allowed to continue my attack and it restarts my entire game. fix this game rn and lemme attack in peace🙏🏿",game quit fun everyth game perfect except latest updat ive face lot problem connect error even though network connect strong annoy part whenev im middl attack problem occur aint allow continu attack restart entir game fix game rn lem attack peac,-10,Negative,74,41
Iam clash of clan user the game is very good. But The builder base attack my base is 7 and oponent base level is 9 that is very wrong. if iam attack the opponent and i will 6 star they gives 50 trophy and the same time this opponent attack my base and he will 6star the game given my 50 troohy him.that is very wrong. if the clash of clan gives me and him some bonus trophy. we will carry on to game much better. 😭😭😭😭😭😭😭😭😭 if the attacking base 7to 7 we will game much Better. Thanks,iam clash clan user game good builder base attack base opon base level wrong iam attack oppon star give trophi time oppon attack base star game given troohi himthat wrong clash clan give bonu trophi carri game much better attack base game much better thank,21,Positive,99,45
No Gems ofer and event available in game And heros ability is very hard for max because orce is very hard earn,gem ofer event avail game hero abil hard max orc hard earn,2,Positive,22,12
Super,super,3,Positive,1,1
We love ClashOfClans 👍,love clashofclan,5,Positive,4,2
Op,op,0,Neutral,1,1
Nice game,nice game,6,Positive,2,2
"Love the game, always will",love game alway,7,Positive,5,3
Very strategical it fits my game type,strateg fit game type,6,Positive,7,4
I love this game,love game,7,Positive,4,2
verry nice game,verri nice game,6,Positive,3,3
To nice,nice,4,Positive,2,1
"nice game, but updaes takes 7+ days are annoying",nice game upda take day annoy,6,Positive,9,6
it is best game,best game,2,Positive,4,2
Amazing and addictive!,amaz addict,-3,Negative,3,2
The impressive game,impress game,2,Positive,3,2
I like this game,like game,2,Positive,4,2
The best game in the world no cap,best game world cap,2,Positive,8,4
Good,good,5,Positive,1,1
I was satisfied,satisfi,0,Neutral,3,1
Awesome,awesom,0,Neutral,1,1
Nice game,nice game,6,Positive,2,2
Good 👍,good,5,Positive,2,1
Bring back the global chat!!,bring back global chat,3,Positive,5,4
Good aps,good ap,5,Positive,2,2
Bad experience,bad experi,-4,Negative,2,2
Wonderful game 🥰🥰 And i love this game🥰,wonder game love game,9,Positive,8,4
Nice game,nice game,6,Positive,2,2
5 stars will be given if you put Bangladesh's flag in the next update,star given put bangladesh flag next updat,-2,Negative,14,7
I love the game,love game,7,Positive,4,2
Best game,best game,2,Positive,2,2
It sometimes decides to remove me from the game and it annoys me because when I'm in a battle it can kick me out of the game otherwise 5 stars,sometim decid remov game annoy im battl kick game otherwis star,4,Positive,30,11
Good game and nothing changed since I played except the royal champion,good game noth chang sinc play except royal champion,7,Positive,12,9
best experience for years,best experi year,0,Neutral,4,3
Nice 👍🙂,nice,4,Positive,2,1
This is the best game ever❤❤❤❤,best game ever,2,Positive,6,3
I really appreciate it Thanks for making,realli appreci thank make,4,Positive,7,4
This game is super crazy,game super crazi,5,Positive,5,3
Fantastic,fantast,0,Neutral,1,1
Good b,good b,5,Positive,2,2
Superb,superb,0,Neutral,1,1
Best game 🥰,best game,2,Positive,3,2
Very very good 👏 game,good game,7,Positive,5,2
Good,good,5,Positive,1,1
The connection system should be change or update so that your wifi connection get lost immediately turn on the data connection and can complete the attack,connect system chang updat wifi connect get lost immedi turn data connect complet attack,-6,Negative,26,14
easy and fun but so much time taking progress...and the builders are too expensive...why? 😕,easi fun much time take progressand builder expensivewhi,0,Neutral,15,8
